Simulation started at: 2015-11-03 12:05:18
Input file: ydata-fp-td-clicks-v2_0.20111002-08.txt
Policy: eAnnealingContextual
Policy,Input File,Evaluations,CTR,Cumulative Runtime (s)
eAnnealingContextual,y,40200,0.0496517412935,956.567
eAnnealingContextual,y,40300,0.0496277915633,959.006
eAnnealingContextual,y,40400,0.0495792079208,961.85
eAnnealingContextual,y,40500,0.0495308641975,964.557
eAnnealingContextual,y,40600,0.0496305418719,967.518
eAnnealingContextual,y,40700,0.0497297297297,970.114
eAnnealingContextual,y,40800,0.0497303921569,972.482
eAnnealingContextual,y,40900,0.0497555012225,975.178
eAnnealingContextual,y,41000,0.0498048780488,978.275
eAnnealingContextual,y,41100,0.0497810218978,981.196
eAnnealingContextual,y,41200,0.0498058252427,983.947
eAnnealingContextual,y,41300,0.0498789346247,986.91
eAnnealingContextual,y,41400,0.0498309178744,989.897
eAnnealingContextual,y,41500,0.0498554216867,992.425
eAnnealingContextual,y,41600,0.0498798076923,995.004
eAnnealingContextual,y,41700,0.0498800959233,997.97
eAnnealingContextual,y,41800,0.0498803827751,1000.537
eAnnealingContextual,y,41900,0.0498806682578,1004.12
eAnnealingContextual,y,42000,0.049880952381,1006.81
eAnnealingContextual,y,42100,0.0499762470309,1009.584
eAnnealingContextual,y,42200,0.0500236966825,1012.649
eAnnealingContextual,y,42300,0.05,1015.316
eAnnealingContextual,y,42400,0.050070754717,1018.376
eAnnealingContextual,y,42500,0.0501176470588,1021.477
eAnnealingContextual,y,42600,0.0501877934272,1024.42
eAnnealingContextual,y,42700,0.05018735363,1027.187
eAnnealingContextual,y,42800,0.0501869158879,1029.736
eAnnealingContextual,y,42900,0.0502564102564,1032.192
eAnnealingContextual,y,43000,0.0502325581395,1035.295
eAnnealingContextual,y,43100,0.0502320185615,1038.173
eAnnealingContextual,y,43200,0.050162037037,1041.074
eAnnealingContextual,y,43300,0.050207852194,1043.872
eAnnealingContextual,y,43400,0.0502534562212,1046.199
eAnnealingContextual,y,43500,0.0502068965517,1048.597
eAnnealingContextual,y,43600,0.0501605504587,1051.392
eAnnealingContextual,y,43700,0.0501601830664,1054.239
eAnnealingContextual,y,43800,0.0501598173516,1056.937
eAnnealingContextual,y,43900,0.0500683371298,1059.266
eAnnealingContextual,y,44000,0.0500681818182,1061.731
eAnnealingContextual,y,44100,0.050022675737,1064.105
eAnnealingContextual,y,44200,0.0499773755656,1066.729
eAnnealingContextual,y,44300,0.0499097065463,1069.876
eAnnealingContextual,y,44400,0.0499099099099,1072.809
eAnnealingContextual,y,44500,0.0498426966292,1075.535
eAnnealingContextual,y,44600,0.0498430493274,1078.029
eAnnealingContextual,y,44700,0.0498210290828,1080.396
eAnnealingContextual,y,44800,0.0497991071429,1083.037
eAnnealingContextual,y,44900,0.0497327394209,1085.814
eAnnealingContextual,y,45000,0.0498,1088.359
eAnnealingContextual,y,45100,0.049844789357,1090.828
eAnnealingContextual,y,45200,0.0497787610619,1093.558
eAnnealingContextual,y,45300,0.0497571743929,1096.18
eAnnealingContextual,y,45400,0.0497577092511,1099.1
eAnnealingContextual,y,45500,0.0498021978022,1102.99
eAnnealingContextual,y,45600,0.0498026315789,1107.412
eAnnealingContextual,y,45700,0.0499562363239,1112.513
eAnnealingContextual,y,45800,0.0499563318777,1117.776
eAnnealingContextual,y,45900,0.0500435729847,1122.028
eAnnealingContextual,y,46000,0.05,1127.028
eAnnealingContextual,y,46100,0.0500650759219,1131.446
eAnnealingContextual,y,46200,0.0500649350649,1135.855
eAnnealingContextual,y,46300,0.0500863930886,1140.058
eAnnealingContextual,y,46400,0.0501724137931,1144.052
eAnnealingContextual,y,46500,0.0500860215054,1148.564
eAnnealingContextual,y,46600,0.0501072961373,1153.303
eAnnealingContextual,y,46700,0.0500856531049,1158.438
eAnnealingContextual,y,46800,0.05,1163.665
eAnnealingContextual,y,46900,0.05,1168.969
eAnnealingContextual,y,47000,0.0499787234043,1173.034
eAnnealingContextual,y,47100,0.049957537155,1178.017
eAnnealingContextual,y,47200,0.05,1182.868
eAnnealingContextual,y,47300,0.0500422832981,1188.016
eAnnealingContextual,y,47400,0.0500632911392,1193.865
eAnnealingContextual,y,47500,0.0500631578947,1198.771
eAnnealingContextual,y,47600,0.0500840336134,1204.543
eAnnealingContextual,y,47700,0.0501467505241,1209.857
eAnnealingContextual,y,47800,0.0502510460251,1214.588
eAnnealingContextual,y,47900,0.0502296450939,1218.763
eAnnealingContextual,y,48000,0.0503541666667,1224.629
eAnnealingContextual,y,48100,0.0506237006237,1229.888
eAnnealingContextual,y,48200,0.0507468879668,1234.369
eAnnealingContextual,y,48300,0.0509109730849,1239.417
eAnnealingContextual,y,48400,0.0510537190083,1244.63
eAnnealingContextual,y,48500,0.0511546391753,1248.937
eAnnealingContextual,y,48600,0.051378600823,1254.177
eAnnealingContextual,y,48700,0.0515605749487,1258.846
eAnnealingContextual,y,48800,0.0516393442623,1264.311
eAnnealingContextual,y,48900,0.0516564417178,1269.419
eAnnealingContextual,y,49000,0.0517551020408,1274.161
eAnnealingContextual,y,49100,0.0517107942974,1279.443
eAnnealingContextual,y,49200,0.0517276422764,1284.652
eAnnealingContextual,y,49300,0.0518255578093,1290.132
eAnnealingContextual,y,49400,0.052024291498,1295.041
