Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
1565000 31319 1526 0.0487244164884
1570000 31426 1535 0.0488449054923
1575000 31530 1537 0.0487472248652
1580000 31605 1544 0.0488530295839
1585000 31695 1549 0.0488720618394
1590000 31789 1555 0.048916291799
1595000 31890 1561 0.0489495139542
1600000 31987 1567 0.0489886516397
1605000 32087 1573 0.0490229688036
1610000 32167 1576 0.0489943109398
1615000 32256 1579 0.0489521329365
1620000 32361 1584 0.0489478075461
1625000 32453 1590 0.0489939296829
1630000 32560 1596 0.0490171990172
1635000 32671 1601 0.0490037035903
1640000 32778 1607 0.0490267862591
1645000 32883 1610 0.0489614694523
1650000 32980 1615 0.0489690721649
1655000 33094 1621 0.0489816885236
1660000 33197 1622 0.0488598367322
1665000 33291 1626 0.0488420293773
1670000 33394 1631 0.0488411091813
1675000 33496 1637 0.0488715070456
1680000 33594 1640 0.0488182413526
1685000 33695 1648 0.048909333729
1690000 33802 1651 0.0488432637122
1695000 33892 1655 0.0488315826744
1700000 33998 1661 0.0488558150479
1705000 34087 1665 0.0488456009622
1710000 34173 1666 0.048751938665
1715000 34280 1671 0.0487456242707
1720000 34384 1678 0.0488017682643
1725000 34485 1685 0.0488618239814
1730000 34581 1690 0.0488707671843
1735000 34680 1694 0.0488465974625
1740000 34794 1697 0.0487727769156
1745000 34903 1701 0.0487350657537
1750000 34995 1706 0.0487498214031
1755000 35101 1709 0.0486880715649
1760000 35204 1714 0.0486876491308
1765000 35287 1718 0.0486864851078
1770000 35393 1720 0.0485971802334
1775000 35495 1724 0.0485702211579
1780000 35602 1731 0.0486208639964
1785000 35703 1739 0.0487073915357
1790000 35810 1745 0.0487294051941
1795000 35902 1747 0.0486602417693
1800000 36002 1751 0.0486361868785
1805000 36113 1758 0.0486805305569
1810000 36213 1764 0.0487117885842
1815000 36329 1776 0.0488865644526
1820000 36428 1781 0.0488909629955
1825000 36523 1786 0.0489006927142
1830000 36619 1789 0.0488544198367
1835000 36707 1791 0.0487917835835
1840000 36804 1796 0.0487990435822
1845000 36908 1801 0.0487970087786
1850000 37012 1804 0.0487409488814
1855000 37112 1808 0.0487173959905
1860000 37193 1813 0.0487457317237
1865000 37281 1815 0.0486843164078
1870000 37368 1819 0.0486780132734
1875000 37488 1824 0.0486555697823
1880000 37601 1831 0.0486955134172
1885000 37705 1834 0.0486407638244
1890000 37806 1841 0.048695974184
1895000 37917 1849 0.0487644064668
1900000 38028 1856 0.0488061428421
1905000 38145 1861 0.0487875213003
1910000 38246 1865 0.0487632693615
1915000 38339 1869 0.0487493153186
1920000 38434 1875 0.0487849300099
1925000 38540 1881 0.0488064348729
1930000 38640 1886 0.0488095238095
1935000 38741 1893 0.0488629617201
1940000 38849 1898 0.0488558264048
1945000 38947 1906 0.0489383007677
1950000 39038 1911 0.0489523028844
1955000 39138 1919 0.0490316316623
1960000 39234 1927 0.0491155630321
1965000 39321 1931 0.0491086188042
1970000 39417 1940 0.0492173427709
1975000 39524 1946 0.0492359072968
1980000 39632 1953 0.0492783609205
1985000 39732 1958 0.0492801771872
1990000 39822 1961 0.049244136407
1995000 39912 1966 0.0492583684105
2000000 40008 1973 0.0493151369726
2005000 40099 1976 0.0492780368588
2010000 40201 1981 0.0492773811597
2015000 40293 1983 0.04921450376
2020000 40394 1988 0.0492152299847
2025000 40487 1994 0.0492503766641
2030000 40568 1998 0.0492506408992
2035000 40663 2003 0.0492585397044
2040000 40762 2009 0.0492860997988
2045000 40853 2013 0.0492742271069
2050000 40949 2016 0.0492319714767
2055000 41053 2020 0.0492046866246
2060000 41163 2022 0.0491217841265
