t,EnsembleRandomUpdateAll,Naive3,EnsembleEAnnealingUpdateAll,UCB1,Softmax0.1,Random,eAnnealing,EXP30.5,eGreedy0.1,
213500,,,0.078,0.0517470725995,0.031943793911,0.034393442623,0.0766838407494,0.0429836065574,0.0744215456674,
213600,,,0.0780009363296,0.0517322097378,0.0319616104869,0.0343913857678,0.0766807116105,0.0429915730337,0.0744382022472,
213700,,,0.0779925128685,0.0517360786149,0.031970051474,0.0344080486664,0.0766775854001,0.0429901731399,0.0744408048666,
213800,,,0.0779794200187,0.0517212347989,0.0319644527596,0.0344013096352,0.0766557530402,0.0430074836296,0.074429373246,
213900,,,0.0779710144928,0.0517157550257,0.0319541841982,0.0344132772324,0.076657316503,0.0430247779336,0.074446002805,
214000,,,0.0779579439252,0.0517056074766,0.0319439252336,0.0343971962617,0.0766728971963,0.0430280373832,0.0744345794393,
214100,,,0.0779448855675,0.0517094815507,0.0319430172816,0.0343998131714,0.0766510976179,0.043054647361,0.0744371788884,
214200,,,0.0779365079365,0.0517273576097,0.0319561157796,0.0344117647059,0.0766386554622,0.0430672268908,0.0744304388422,
214300,,,0.0779281381241,0.0517218852077,0.031959869342,0.034405039664,0.0766542230518,0.0430797946804,0.0744423705086,
214400,,,0.0779104477612,0.0517070895522,0.0319496268657,0.0344029850746,0.0766557835821,0.043078358209,0.0744356343284,
214500,,,0.0779300699301,0.0518508158508,0.031958041958,0.0344009324009,0.0766433566434,0.0430815850816,0.0744242424242,
214600,,,0.077917054986,0.0519151910531,0.0319571295433,0.0344035414725,0.0766356011184,0.0430661696179,0.0744175209692,
214700,,,0.0778947368421,0.0519981369353,0.0319701909641,0.0343921751281,0.076623195156,0.0430554261761,0.0744014904518,
214800,,,0.0778770949721,0.0520996275605,0.031969273743,0.0343994413408,0.0766154562384,0.0430493482309,0.0743994413408,
214900,,,0.0778734295021,0.052201023732,0.0319637040484,0.0344113541182,0.0765844578874,0.0430572359237,0.0743973941368,
215000,,,0.0778790697674,0.0522790697674,0.0319581395349,0.0344093023256,0.0765953488372,0.0430697674419,0.0743953488372,
215100,,,0.0778754067875,0.0523291492329,0.0319479311948,0.0344072524407,0.0765829846583,0.0430869363087,0.0743886564389,
215200,,,0.0778624535316,0.0524256505576,0.0319470260223,0.0344144981413,0.0765752788104,0.0430808550186,0.0743587360595,
215300,,,0.0778495123084,0.0525220622387,0.0319414770088,0.0344124477473,0.0765815141663,0.0430887134231,0.0743520668834,
215400,,,0.0778319405757,0.0526323119777,0.0319405756732,0.0344057567317,0.0765691736305,0.0430965645311,0.0743454038997,
215500,,,0.0778143851508,0.0526914153132,0.031939675174,0.0344315545244,0.0765475638051,0.0431044083527,0.0743619489559,
215600,,,0.0778014842301,0.0527504638219,0.0319294990724,0.0344341372913,0.076525974026,0.043112244898,0.0743413729128,
215700,,,0.0777885952712,0.0528372739917,0.031933240612,0.0344320815948,0.0765229485396,0.0431293463143,0.074357904497,
215800,,,0.0777618164968,0.0529147358665,0.0319277108434,0.034453197405,0.0765291936979,0.0431371640408,0.0743697868397,
215900,,,0.0777350625289,0.0529597035665,0.0319175544233,0.0344372394627,0.0765261695229,0.0431496062992,0.0743723946271,
216000,,,0.0777314814815,0.0530416666667,0.0319259259259,0.0344351851852,0.0765046296296,0.0431481481481,0.0743611111111,
216100,,,0.0777417862101,0.053086534012,0.0319157797316,0.0344377602962,0.0764877371587,0.0431466913466,0.0743590930125,
216200,,,0.0777289546716,0.0531359851989,0.031914893617,0.0344357076781,0.0764616096207,0.0431544865865,0.0743524514339,
216300,,,0.0777115117892,0.0531668978271,0.0319001386963,0.0344475265834,0.0764401294498,0.0431668978271,0.0743550624133,
216400,,,0.0776987060998,0.0532208872458,0.0318900184843,0.0344500924214,0.0764232902033,0.0431654343808,0.0743484288355,
216500,,,0.0777043879908,0.0532563510393,0.0318799076212,0.0344480369515,0.0763972286374,0.0431778290993,0.0743464203233,
216600,,,0.0776915974146,0.0533148661127,0.03189289012,0.0344459833795,0.0763942751616,0.0431809787627,0.0743444136657,
216700,,,0.077683433318,0.0533687125058,0.0318874019382,0.0344439317028,0.0763774803876,0.0431795108445,0.0743239501615,
216800,,,0.077684501845,0.0534363468635,0.0318865313653,0.0344511070111,0.0763653136531,0.0431780442804,0.0743404059041,
216900,,,0.0776809589673,0.0534808667589,0.0318948824343,0.034449054864,0.0763715998156,0.0431857999078,0.0743245735362,
217000,,,0.0776774193548,0.0535437788018,0.0318847926267,0.0344470046083,0.0763686635945,0.0431843317972,0.0743133640553,
217100,,,0.0776646706587,0.0536112390603,0.0318747121142,0.0344449562414,0.0763703362506,0.0432105020728,0.0743390142791,
217200,,,0.0776519337017,0.053697053407,0.0318692449355,0.0344429097606,0.0763535911602,0.0431998158379,0.0743139963168,
217300,,,0.0776346065347,0.0537505752416,0.0318637827888,0.0344776806259,0.0763460653474,0.0432075471698,0.0742936033134,
217400,,,0.0776264949402,0.053771849126,0.031867525299,0.0344940202392,0.0763201471941,0.0432152713891,0.0742778288868,
217500,,,0.0776229885057,0.0538344827586,0.0318666666667,0.034491954023,0.0763172413793,0.043232183908,0.0742896551724,
217600,,,0.0776056985294,0.0538786764706,0.0318520220588,0.0344944852941,0.0763005514706,0.0432444852941,0.0742738970588,
217700,,,0.0775792374828,0.0539274230593,0.0318465778594,0.0344924207625,0.0762976573266,0.0432659623335,0.0742673403767,
217800,,,0.0775573921028,0.0539164370983,0.0318457300275,0.0344903581267,0.0762855831038,0.0432690541781,0.0742607897153,
217900,,,0.0775539238183,0.0539100504819,0.0318357044516,0.0345020651675,0.0762689307022,0.0432950894906,0.0742771913722,
218000,,,0.0775458715596,0.0539174311927,0.0318348623853,0.034495412844,0.076247706422,0.0432981651376,0.0742568807339,
218100,,,0.0776845483723,0.0539110499771,0.0318294360385,0.0345071068317,0.0762540119211,0.0433104080697,0.074232003668,
218200,,,0.0777406049496,0.0539046746104,0.0318285976169,0.0345187901008,0.0762511457379,0.0433272227314,0.0742163153071,
218300,,,0.0778103527256,0.0539028859368,0.0318185982593,0.0345350435181,0.0762391204764,0.0433394411361,0.0742098030234,
218400,,,0.0777838827839,0.0538965201465,0.0318177655678,0.0345283882784,0.0762362637363,0.0433470695971,0.074217032967,
218500,,,0.0777803203661,0.053881006865,0.0318215102975,0.0345308924485,0.0762242562929,0.0433546910755,0.0742151029748,
218600,,,0.0777859103385,0.0538655077768,0.0318252516011,0.034537968893,0.0762122598353,0.0433714547118,0.0741994510522,
218700,,,0.0777686328304,0.0538591678098,0.0318518518519,0.0345267489712,0.0762368541381,0.0433882030178,0.0741883859168,
218800,,,0.0778839122486,0.053852833638,0.0318510054845,0.0345201096892,0.0763574040219,0.0434095063985,0.0741727605119,
218900,,,0.0779442667885,0.0538602101416,0.0318501598904,0.0345317496574,0.0764001827318,0.043398812243,0.0741708542714,
219000,,,0.0780091324201,0.0538584474886,0.0318493150685,0.0345251141553,0.0764703196347,0.0433926940639,0.0741461187215,
219100,,,0.0780785029667,0.0538566864445,0.0318439068918,0.0345321770881,0.0765403925148,0.0433957097216,0.0741350981287,
219200,,,0.0781660583942,0.0538549270073,0.0318476277372,0.0345666058394,0.0765693430657,0.0433895985401,0.0741195255474,
219300,,,0.0782444140447,0.0538486092111,0.0318331053352,0.0345554035568,0.0765572275422,0.0433880528956,0.0740902872777,
219400,,,0.0782862351869,0.053837739289,0.0318322698268,0.034548769371,0.0766818596171,0.0434001823154,0.0740838650866,
219500,,,0.0783507972665,0.053840546697,0.0318314350797,0.0345466970387,0.076728929385,0.0434077448747,0.0740592255125,
219600,,,0.0784380692168,0.0538296903461,0.0318306010929,0.0345446265938,0.0768032786885,0.0434289617486,0.0740391621129,
219700,,,0.0785161583978,0.0538324988621,0.0318206645426,0.0345425580337,0.0768821119709,0.0434456076468,0.0740282203004,
219800,,,0.0785623293904,0.0538444040036,0.0318107370337,0.0345450409463,0.0769608735214,0.0434713375796,0.0740218380346,
219900,,,0.078622100955,0.0538426557526,0.0317962710323,0.0345475216007,0.0770168258299,0.0434834015462,0.0739927239654,
220000,,,0.0786727272727,0.0538363636364,0.0318,0.0345454545455,0.07705,0.0435136363636,0.0739818181818,
220100,,,0.0787187641981,0.0538391640164,0.0317900954112,0.0345570195366,0.0771240345298,0.0435211267606,0.0739572921399,
220200,,,0.0787465940054,0.0538147138965,0.0317756584923,0.0345776566757,0.0771662125341,0.04351044505,0.0739464123524,
